date,overnight_gold_movement,gold_opening_price,gold_movement_5min,gold_movement_15min,gold_movement_30min,gold_movement_60min,gold_movement_180min,gold_movement_370min,muthoot_fin_opening_price,muthoot_fin_movement_5min,muthoot_fin_movement_15min,muthoot_fin_movement_30min,muthoot_fin_movement_60min,muthoot_fin_movement_180min,muthoot_fin_movement_370min,muthoot_fin_option_movement_-1_put_5min,muthoot_fin_option_movement_-1_put_15min,muthoot_fin_option_movement_-1_put_30min,muthoot_fin_option_movement_-1_put_60min,muthoot_fin_option_movement_-1_put_180min,muthoot_fin_option_movement_-1_put_370min,muthoot_fin_option_movement_1_call_5min,muthoot_fin_option_movement_1_call_15min,muthoot_fin_option_movement_1_call_30min,muthoot_fin_option_movement_1_call_60min,muthoot_fin_option_movement_1_call_180min,muthoot_fin_option_movement_1_call_370min,muthoot_fin_option_movement_0_call_5min,muthoot_fin_option_movement_0_call_15min,muthoot_fin_option_movement_0_call_30min,muthoot_fin_option_movement_0_call_60min,muthoot_fin_option_movement_0_call_180min,muthoot_fin_option_movement_0_call_370min,muthoot_fin_option_movement_0_put_5min,muthoot_fin_option_movement_0_put_15min,muthoot_fin_option_movement_0_put_30min,muthoot_fin_option_movement_0_put_60min,muthoot_fin_option_movement_0_put_180min,muthoot_fin_option_movement_0_put_370min
2025-06-02,0.3,80.9,-1.43,-1.5,-1.38,-1.31,-0.72,-0.43,2208.0,0.23,0.18,0.05,-0.33,-0.39,0.57,,,,,,,5.9,2.53,-0.56,-9.13,-10.67,11.66,,,,,,,-6.57,-6.35,-5.5,-1.22,-0.08,-13.69
2025-06-03,0.5,82.5,-1.82,-1.93,-1.9,-1.84,-1.88,-1.82,2215.0,1.14,0.25,0.36,0.24,0.34,0.9,,,,,,,23.67,4.46,6.57,0.99,1.86,1.49,,,,,,,,,,,,
2025-06-04,0.16,81.77,-0.64,-0.64,-0.61,-0.83,-0.7,-0.55,2234.3,-0.35,-0.15,0.29,0.27,2.14,1.84,,,,,,,-0.98,0.73,3.05,4.15,48.78,30.24,,,,,,,7.99,2.14,-1.35,-6.64,-33.3,-33.52
2025-06-05,0.42,83.75,-2.56,-2.61,-2.75,-2.75,-2.93,-2.34,2272.3,-0.07,0.22,0.13,0.21,0.82,0.99,,,,,,,,,,,,,-0.39,7.21,9.16,9.16,18.81,19.49,,,,,,
2025-06-06,-0.6,81.95,-0.6,-0.54,-0.6,-0.55,-0.78,-0.92,2303.9,-0.39,-0.67,-0.73,-0.36,2.22,5.89,,,,,,,-11.36,-14.34,-17.13,-10.61,56.05,269.65,,,,,,,-0.92,4.16,2.5,-8.33,-41.05,-62.53
2025-06-09,-1.51,80.82,-0.79,-0.78,-0.75,-0.75,-0.67,-0.37,2475.0,0.72,1.54,1.81,1.35,2.06,2.78,-15.8,-29.16,-34.14,-34.63,-39.49,-45.44,,,,,,,7.81,28.12,30.08,17.03,35.16,52.66,,,,,,
2025-06-10,-0.28,80.38,-0.22,-0.27,-0.3,-0.31,0.25,0.31,2535.0,1.08,0.47,1.09,1.07,0.61,0.67,,,,,,,12.5,-2.5,13.23,7.19,-6.56,-9.48,,,,,,,-19.9,-8.91,-18.61,-17.33,-14.16,-16.93
2025-06-11,0.34,82.4,-1.95,-1.94,-1.88,-1.89,-2.04,-2.03,2555.1,-0.66,-0.75,-1.1,-0.57,-0.11,-0.57,,,,,,,,,,,,,-6.48,-7.21,-16.38,-3.91,0.24,-11.98,,,,,,
2025-06-12,1.24,82.38,-1.19,-1.21,-1.26,-1.19,-1.06,-1.13,2538.6,0.93,1.21,1.0,1.99,1.55,0.49,,,,,,,,,,,,,,,,,,,-15.3,-18.34,-21.77,-34.04,-23.88,0.26
2025-06-13,1.87,83.83,-0.8,-0.87,-0.94,-0.89,-0.87,-0.85,2510.6,1.31,2.61,1.89,2.29,3.06,3.56,,,,,,,30.37,95.56,51.85,74.07,114.81,129.63,,,,,,,17.39,4.35,-0.29,-16.23,-26.81,-33.48
